video_id,exercise_id,exercise_name,equipment,youtube_link
265,121,Seated Row: Straight Back,cable,https://youtu.be/7o2oolbmzeI?si=KwJtz0w3U1u1ZTQF
267,121,Seated Row: Straight Back,lever,https://youtu.be/rp154g3bZPs?si=DR9MkgMVf38sSyfO
269,123,Push-Up Plus,body weight,https://youtu.be/RR5xJ1mXEV4?si=NGsz460q5_1QNJhU
271,125,Seated Reverse Calf Press,lever,https://youtu.be/r7m6pKj2H2A?si=bEkw3eWM7AnCGG5V
273,127,Incline Chest Press,dumbbell,https://youtu.be/8iPEnn-ltC8?si=fx0lwABqmGPGT8vf
275,127,Incline Chest Press,lever,https://youtu.be/ig0NyNlSce4?si=-oKqBio7oSw4sgUr
277,127,Incline Chest Press,barbell,https://youtu.be/DbFgADa2PL8?si=xyNH4Onqqrm58Y5E
279,129,One Arm Pull-Up,body weight (weighted),https://youtu.be/E4Q7eR2iLes?si=ccSLSvztw86XVJQB
281,129,One Arm Pull-Up,body weight,https://youtube.com/shorts/_yCirbjRyrs?si=sh0doZBPvrKI-gtJ
283,131,Close Grip Pulldown,assisted machine,
285,131,Close Grip Pulldown,cable,https://youtu.be/0rzMziYkK7k?si=bFNLzzID4EQhpylO
287,133,Bent-Over Pullover,dumbbell,
289,133,Bent-Over Pullover,barbell,
291,135,Decline Push-Up: On Stability Ball,body weight,https://youtu.be/0ppOENur9WQ?si=DbOA_pfZ7Z6g8jjd
293,137,Seated Wide Grip Row: Straight Back,lever,https://youtu.be/TIr-oyMwAko?si=mVnwKtaNjS64Yaio
295,137,Seated Wide Grip Row: Straight Back,cable,https://youtu.be/YKAeU55CkVk?si=K8J27Gs-NYLkwsuA
297,139,Underhand Pulldown,cable,https://youtu.be/u3froOP8W24?si=V7kWRUwoPrOhP7CM
299,141,Decline Bench Press,dumbbell,https://youtu.be/0xRvl4Qv3ZY?si=3V6IoLM8q8M9qVuv
301,141,Decline Bench Press,barbell,https://youtu.be/LfyQBUKR8SE?si=1RiEUA5R56zZIe4D
303,141,Decline Bench Press,lever,https://youtu.be/xK9zpXvjFUg?si=5XuxAFyv9bsgDawI
305,143,Presses: Decline Chest Press,barbell,https://youtu.be/LfyQBUKR8SE?si=1RiEUA5R56zZIe4D
307,143,Presses: Decline Chest Press,lever,https://youtu.be/xK9zpXvjFUg?si=5XuxAFyv9bsgDawI
309,143,Presses: Decline Chest Press,dumbbell,https://youtu.be/0xRvl4Qv3ZY?si=3V6IoLM8q8M9qVuv
311,145,Single Leg Calf Raise,body weight,https://youtu.be/qPd73snQfUs?si=UcnqJaFpDkLo6i3S
313,145,Single Leg Calf Raise,dumbbell,https://youtu.be/uhLjADhUxFM?si=-X1FKBlspW4XWgQI
315,147,Hack Reverse Calf Raise,lever,https://youtu.be/KKwr1Apx9vI?si=U8NIaW-NY3yUtSB7
317,149,Lying Row,dumbbell,https://youtu.be/2LxN3_3atps?si=Sxwuv-zXzgl25dRX
319,149,Lying Row,barbell,https://youtu.be/3hP5seKhdwk?si=BVX1a3Wkt94T6Os2
321,151,Seated Rows: Wide Grip Low Bar,lever,https://youtu.be/TIr-oyMwAko?si=mVnwKtaNjS64Yaio
323,151,Seated Rows: Wide Grip Low Bar,cable,https://youtu.be/YKAeU55CkVk?si=K8J27Gs-NYLkwsuA
325,153,Decline Push-Up,body weight,https://youtu.be/SKPab2YC8BE?si=Qbv4vIwcMhWdil5Y
327,155,One Arm Straight Back Seated High Row,lever,https://youtu.be/UHrxqmzGgVg?si=poKy4iVvIOjxop-g
329,155,One Arm Straight Back Seated High Row,cable,https://youtu.be/mGlzyVZ29jQ?si=O4Jxi2y8LI9grn19
331,157,T-Bar Row,lever,https://youtu.be/KDEl3AmZbVE?si=GpOBxRJkCVKmwBfd
333,157,T-Bar Row,barbell,https://youtu.be/j3Igk5nyZE4?si=afmEZsYzW5oByYjZ
335,159,Pullup/Chinup,assisted machine,https://youtu.be/lGCl8kVa6-c?si=0zmLpTLsOAllj_HF
337,159,Pullup/Chinup,body weight (weighted),https://youtu.be/Qh0jSDYu2Os?si=PKIOcNvUFLwyXMCr
339,159,Pullup/Chinup,body weight,https://youtube.com/shorts/9rckBLbVe8c?si=uEz6fj7ulc5p0TC-
341,161,Flies: Lying Fly,dumbbell,https://youtube.com/shorts/rk8YayRoTRQ?si=I2HLC87Aujcb6Jxh
343,161,Flies: Lying Fly,cable,https://youtube.com/shorts/M97ra0UR-40?si=DYyYK5mDoOwc-cJs
345,163,Seated Calf Raise,lever,https://youtu.be/nqvJ_ATDx8k?si=RL2nVEQ3z-fMlKNg
347,163,Seated Calf Raise,barbell,https://youtu.be/abDaq2ly34Q?si=gSc3ukzKQQBrj_Vu
